State,"Fast-food restaurants per 10,000 residents",percentResidentsObese,Abbr.,Food Insercurity % (2010-12),McDonald's,Burger King,Wendy's,AppleBees,Carl's,Chick-fil-A,Chipotle,Dairy Queen,Hardee's,In-N-Out,Jack in the Box,Papa John's,Sonic,Subway,Whataburger,White Castle,FIPS
Alabama,3.5,25.7,AL,17.9,279,156,116,39,0,66,4,84,167,0,0,83,105,456,17,0,2
Alaska,2.19,25.9,AK,12.1,31,17,10,2,8,1,0,4,0,0,0,7,0,53,0,0,1
Arizona,3.16,19.6,AZ,14.9,292,178,110,37,68,29,39,111,0,11,193,100,85,433,38,0,5
Arkansas,4.01,23.7,AR,19.7,184,77,68,13,0,19,3,23,38,0,0,29,170,276,2,0,4
California,3,19.2,CA,15.6,1492,831,339,145,785,51,188,202,2,64,992,313,36,2447,0,0,6
Colorado,3.4,16.5,CO,14.1,237,145,141,39,55,31,83,124,3,0,15,75,77,437,1,0,8
Connecticut,2.15,18,CT,13.4,157,75,52,12,0,0,4,40,0,0,0,14,1,365,0,0,9
Delaware,2.67,20.7,DC,12,44,24,19,13,0,9,1,16,14,0,0,15,3,56,0,0,10
Florida,3.07,19.4,FL,14.8,986,651,579,136,0,182,61,219,127,1,1,355,120,1475,52,0,12
Georgia,3.66,23.5,GA,16.9,511,303,335,87,0,205,14,240,141,0,1,193,118,868,4,0,13
Hawaii,3.04,17.1,HI,14,65,25,9,0,4,0,0,14,0,0,30,19,1,105,0,0,15
Idaho,3.39,20.2,ID,14.3,69,35,31,14,10,0,0,26,0,0,27,19,16,122,0,0,19
Illinois,3.15,21.9,IL,13,739,376,242,80,7,10,79,308,146,2,15,170,33,1248,1,80,16
Indiana,3.81,24.1,IN,13.5,392,269,201,78,0,29,18,284,118,0,5,156,2,681,0,84,17
Iowa,3.86,22.9,IA,12.6,173,86,52,28,0,6,2,150,86,1,0,24,12,291,0,0,18
Kansas,4,22.8,KS,14.4,184,96,89,46,0,4,19,105,18,0,0,40,137,276,0,0,20
Kentucky,4.12,24.4,KY,15.6,261,117,152,54,0,22,8,137,101,0,0,128,71,440,0,44,21
Louisiana,3.76,25.5,LA,15.7,291,188,136,18,0,27,0,31,3,0,20,68,150,440,11,0,22
Maine,1.82,20.7,ME,14.9,72,43,30,19,0,0,1,31,0,0,0,9,0,121,0,0,25
Maryland,2.78,19.4,MD,13,375,144,140,30,0,57,40,39,24,0,7,119,0,438,0,0,24
Massachusetts,1.96,18.3,MA,11.4,297,171,112,48,0,2,21,46,0,0,0,31,0,420,0,0,23
Michigan,3.1,25.4,MI,13.4,631,391,312,102,0,0,14,224,15,0,2,80,2,992,0,49,26
Minnesota,2.8,22.4,MN,10.6,282,179,92,85,0,2,55,284,62,0,0,74,1,523,0,28,27
Mississippi,3.76,26.8,MS,20.9,162,84,110,17,0,26,1,20,42,1,0,38,114,266,6,0,29
Missouri,3.52,23.2,MO,16.7,368,145,116,79,0,24,27,150,150,2,70,101,206,546,0,42,28
Montana,3.39,18.7,MT,14.1,55,20,17,7,0,0,0,50,15,0,0,12,0,89,0,0,30
Nebraska,3.76,23.2,NE,13.4,89,73,40,25,0,0,7,66,10,1,0,19,22,197,0,0,37
Nevada,3.25,21.6,NV,16.6,155,70,49,18,42,0,12,51,0,3,81,27,18,180,0,1,38
New Hampshire,1.91,17.9,NH,9.9,69,41,28,21,0,1,1,7,1,0,0,3,0,79,0,0,31
New Jersey,2.02,19,NJ,12.1,311,223,169,64,0,27,15,100,0,1,3,96,2,441,0,37,33
New Mexico,3.52,19.7,NM,15.2,100,58,41,19,19,2,0,50,0,1,5,22,22,134,10,0,34
New York,1.9,20.6,NY,13.2,767,425,243,132,0,1,44,39,2,2,0,175,0,1261,0,57,35
North Carolina,3.49,23.5,NC,17,475,324,290,69,0,128,12,131,291,0,29,178,92,830,1,0,32
North Dakota,3.41,23.4,ND,8.7,29,19,10,12,0,0,0,40,18,0,1,9,0,65,0,0,36
Ohio,3.78,23,OH,16.1,823,425,507,120,1,44,123,530,48,1,0,212,11,1261,0,89,39
Oklahoma,4,22.9,OK,15.3,217,77,50,24,50,32,5,20,7,1,6,37,247,357,20,0,40
Oregon,2.95,20.3,OR,13.6,205,108,63,23,58,0,12,107,0,0,58,28,0,331,0,0,41
Pennsylvania,2.37,23.9,PA,12.3,583,323,311,92,0,68,23,277,37,0,0,138,3,901,0,0,42
Rhode Island,2.18,18.5,RI,15.4,44,31,23,8,0,0,2,1,0,0,0,8,0,86,0,0,44
South Carolina,3.71,25.8,SC,15.4,258,187,138,48,0,78,2,39,177,0,24,73,66,392,0,0,45
South Dakota,3.49,21.2,SD,12.9,36,33,11,8,0,0,0,44,15,0,0,12,0,78,0,0,46
Tennessee,3.92,24.5,TN,16.2,393,205,206,56,0,61,4,95,170,0,33,127,188,609,0,12,47
Texas,3.73,25.5,TX,18.4,1224,510,445,114,31,238,107,593,6,14,662,300,889,1816,537,0,48
Utah,3.67,17.5,UT,14.8,111,68,86,20,34,11,5,23,0,7,2,31,14,187,0,0,49
Vermont,1.63,18.9,VT,12.7,30,11,7,4,0,0,0,1,0,0,0,1,12,31,0,0,51
Virginia,3.29,23.8,VA,9.2,445,248,228,82,0,88,47,145,208,0,3,162,0,670,5,0,50
Washington,2.74,21.3,WA,14.6,326,158,89,46,20,0,11,116,0,3,153,87,1,573,0,0,53
West Virginia,4,27.6,WV,14.2,101,55,71,18,0,14,1,75,46,0,0,25,2,156,0,0,55
Wisconsin,2.75,21.6,WI,11.2,341,171,76,59,0,3,13,176,102,0,0,46,2,612,1,2,54
Wyoming,3.98,19.5,WY,13.8,32,22,15,5,2,2,2,10,10,0,0,5,4,59,0,0,56