Fastfood,Meal,Calories,TotalFat,SaturatedFat,TransFat,Sodium,Carbs,Sugars
Burger King,Hamburger,690,8,3,0.5,380,26,6
Burger King,Cheeseburger,740,12,5,0.5,560,27,7
Burger King,Sandwich,1100,38,11,1.5,810,49,11
Burger King,Bacon & Cheese WHOPPERå Sandwich,1220,49,16,2,1260,46,8
Burger King,DOUBLE WHOPPER Sandwich,1320,54,18,2.5,870,49,11
Burger King,Double Bacon King,1510,69,28,2.5,1900,48,10
Burger King,Chocolate Milk Shake,610,16,10,0,500,103,88
Burger King,Chicken Sandwich,1130,40,7,0,1220,49,7
Burger King,Chicken Sandwich,890,18,3,0,700,35,6
Burger King,Chicken Nuggets- 4pc,640,11,1.5,0,310,11,0
Burger King,French Fries - small (Salted),470,14,2.5,0,480,44,0
Wendy's,Jr. Hamburger,710,10,4,1,600,25,5
Wendy's,Jr. Cheeseburger,750,13,6,1,800,26,6
Wendy's,Dave's Single Cheeseburger,1040,31,13,2,1220,42,10
Wendy's,1/2 lb. Double w/ Cheese,1280,47,20,3,1510,42,10
Wendy's,3/4 lb. Triple w/ Cheese,1560,66,29,4,1990,43,11
Wendy's,Baconatorå,1420,56,23,3,1890,41,9
Wendy's,Son of Baconatorå,1100,37,15,2,1670,41,9
Wendy's,"Chocolate Frosty Shake, Small",400,13,8,1,250,104,93
Wendy's,Homestyle Chicken Sandwich,990,20,4,0,1200,54,8
Wendy's,Ultimate Chicken Grill Sandwich,840,7,2,0,880,43,9
Wendy's,4-Piece Regular Chicken Nuggets,650,12,3,0,350,10,0
Wendy's,Small Natural-Cut Fries,470,15,3,0,330,40,0
Chick-fil-A,Grilled Chicken Sandwich,750,3.5,1,0,940,33,7
Chick-fil-A,Chick-fil-A Chicken Sandwich,890,16,3.5,0,1300,38,5
Chick-fil-A,4-Piece Chicken Nuggets,590,6,1,0,545,6,1.5
Chick-fil-A,Small Waffle Fries,460,14,5,1,105,37,0
Chick-fil-A,Chocolate Milkshake,560,22,13,0,380,82,79
Jack in the Box,Hamburger,760,11,4,0.5,680,32,5
Jack in the Box,Hamburger with Cheese,800,14,6,1,880,32,6
Jack in the Box,Jumbo Jack,970,23,8,1.5,910,44,7
Jack in the Box,Bacon Ultimate Cheeseburgeré,1390,56,24,3,2190,44,7
Jack in the Box,Big Cheeseburger,1040,30,12,1.5,1170,43,6
Jack in the Box,Jr. Jacké with Cheese,850,19,7,1,920,33,6
Jack in the Box,Sirloin Cheeseburger,1420,71,23,2.5,1990,52,9
Jack in the Box,Sourdough Jackå,1140,41,15,1.5,1450,40,8
Jack in the Box,"Shake, Chocolate w/ Whipped Topping 16 oz.",800,38,26,1.5,300,101,88
Jack in the Box,Chicken Sandwich,890,21,3.5,0,880,42,4
Jack in the Box,Sourdough Grilled Chicken Club,1020,26,7,0,1490,38,6
Jack in the Box,Chicken Nuggets 5 pc.,720,17,2,0,600,13,0
Jack in the Box,Sourdough Grilled Chicken Club,1020,15,1.5,0,610,45,0
Sonic,JR. BURGER,730,17,6,0.5,480,30,3
Sonic,JR. CHEESEBURGER,790,23,9,0.5,810,31,3
Sonic,SONICå BURGER WITH KETCHUP,1050,37,14,1.5,840,46,10
Sonic,SuperSONICå BACON DOUBLE CHEESEBURGER WITH MAYO,1680,87,35,3.5,1690,44,8
Sonic,SONICå BACON CHEESEBURGER WITH MAYO,1270,54,20,2,1260,43,7
Sonic,¬HATCH GREEN CHILE CHEESEBURGER,1010,43,17,1.5,1120,43,8
Sonic,Chocolate Shake Small,670,31,23,0,330,89,56
Sonic,CLASSIC CHICKEN SANDWICH-CRISPY,930,29,4.5,0,900,57,7
Sonic,CLASSIC CHICKEN SANDWICH-GRILLED,860,17,2,0,1240,44,7
Sonic,JUMBO POPCORN CHICKENåMEDIUM,890,22,4,0,1260,27,1
Sonic,NATURAL-CUT FRIES SMALL,400,12,2,0,260,33,0
Dairy Queen,Original Cheeseburger,810,19,8,1,920,34,8
Dairy Queen,1/4 lb. GrillBurger with Cheese,980,28,11,1,1110,43,10
Dairy Queen,1/4 lb. Mushroom Swiss GrillBurger,1030,33,12,1,890,39,5
Dairy Queen,1/2 lb. Cheese GrillBurger,1240,46,20,1.5,1410,43,10
Dairy Queen,Double Cheeseburger,1020,34,16,1.5,1240,35,9
Dairy Queen,1/4 lb. Bacon Cheese GrillBurgeré,1060,36,14,1,1320,41,9
Dairy Queen,"Chocolate Shake, Small",620,19,14,0.5,220,82,71
Dairy Queen,Crispy Chicken Sandwich,1010,30,3.5,0,1120,50,5
Dairy Queen,Grilled Chicken Sandwich,840,16,2.5,0,1040,32,6
Dairy Queen,3 Chicken Strips,790,20,3,0,960,22,0
Dairy Queen,French Fries - Regular,440,17,2.5,0,790,54,0
Carl's,Kids Hamburger,710,12,4.8,0,569,33.6,5.6
Carl's,Kids Cheeseburger,750,15.9,7.5,0,733,34.2,5.8
Carl's,Famous Star with Cheese,1120,43.7,14.1,0.4,1143,54,9.9
Carl's,Super Star with Cheese,1380,56,23,2,1540,59,14
Carl's,Western Bacon Cheeseburger,1200,35,14,1,1650,75,16
Carl's,Teriyaki Burger,1080,29,11,1,1070,65,20
Carl's,The Big Carl,1370,68,23,2,1380,56,12
Carl's,The 1/2 lb. Original Six Dollar Thickburgerå,1470,70,27,3.5,1760,59,19
Carl's,Chocolate Shake,700,36,24,1.5,300,84,59
Carl's,Buttermilk Ranch Chicken Tender Sandwich,943,23.2,2.7,0.1,1287,43.2,0.4
Carl's,Charbroiled Chicken Club Sandwich,1040,30.5,9.5,0.4,1216,36.2,5.7
Carl's,Kid's Chicken Tenders (2 pcs.),630,11.1,1.6,0.1,859,9.5,0.2
Carl's,Natural-Cut Fries (Small),450,14.7,2.7,0.1,610,39.4,0.3
Hardee's,Kids Hamburger,1010,22,5,,1080,61,7
Hardee's,Kids Cheeseburger,1060,26,6,,1300,61,7
Hardee's,1/3 LB Original Thickburger,1330,43,16,,1660,56,15
Hardee's,1/2 LB Original Thinkbuger,1540,70,24,,2240,57,16
Hardee's,1/3 LB Mushroom & Swiss Thickburger,1200,40,15,,1630,52,11
Hardee's,1/3 LB Bacon Cheese Thickburger,1410,59,18,,1680,54,13
Hardee's,2/3 LB Double Thickburger,1650,79,27,,2460,58,17
Hardee's,Charbroiled Chicken Clubé Sandwich,1100,31,8,,1510,35,9
Hardee's,Big Chicken Fillet Sandwich,1260,42,8,,1490,63,11
Hardee's,3 Piece Hand-Breaded Chicken Tenders,770,13,2.5,,770,13,0
Hardee's,Natural Cut French Fries - Small,510,18,3,,730,47,0
Hardee's,Hand Scooped Ice-Cream Shake,710,33,24,,240,87,73
White Castle,The Original Slider,620,6,2.5,0.5,360,13,1
White Castle,Cheese Slider,640,9,4,0.5,500,14,2
White Castle,Bacon Cheese Slider,700,14,6,0.5,640,13,2
White Castle,Double Cheese Slider,780,17,8,1,940,20,3
White Castle,Double Bacon Cheese Slider,860,27,12,1,1220,21,2
White Castle,Chicken Ring Slider,860,30,7,0,460,16,2
White Castle,Savory Grilled Chicken Slider,660,7,1.5,0,570,13,2
White Castle,6 Chicken Rings,1010,47,9,0,610,12,0
White Castle,Small French Fries,480,21,4,0,50,32,2
White Castle,Chocolate Milk Shake (Chicago Region) 21oz,470,10,5.5,0,330,106,90
Whataburger,Whataburger Jr.å,740,11,4,0,750,37,6
Whataburger,Whataburger Jr.å with Bacon & Cheese,830,18,7,0,1140,37,6
Whataburger,Whataburger,1310,25,8,1,1220,62,12
Whataburger,Whataburgerå Patty Melt,1660,61,21,2,1760,45,6
Whataburger,Double Meat Whataburger,1260,44,14,2,1470,62,12
Whataburger,A.1.å Thick & Hearty Burger,1240,54,19,2,2080,68,18
Whataburger,Chop House Cheddar Burger,1940,69,26,2,1660,61,12
Whataburger,Grilled Chicken Sandwich,860,13,3,0,1040,49,13
Whataburger,Whatachick'nå Sandwich,990,22,4,0,1050,69,14
Whataburger,Whatachick'nå Strips 2 Piece,800,20,4,0,1050,31,1
Whataburger,French Fries (Small),430,14,2,0,170,35,0
Whataburger,Chocolate Shake 16 oz,430,9,6,0,400,79,77
In-N-Out Burger,Hamburger w/Onion,940,19,5,0,650,39,10
In-N-Out Burger,Cheeseburger w/Onion,1030,27,10,0.5,1000,39,10
In-N-Out Burger,Double-Double w/Onion,1220,41,18,1,1440,39,10
In-N-Out Burger,French Fries,545,18,5,0,245,54,0
In-N-Out Burger,Chocolate Shake (15oz),590,29,19,1,320,72,65
Subway,Italian Hero,870,29,10,0,1470,47,9
Subway,Black Forest Ham,900,4.5,1,0,800,46,8
Subway,Subway Club,940,4.5,1.5,0,840,46,8
Subway,Classic Tuna,1280,25,4.5,0,580,44,7
Subway,Italian BMT,1140,16,6,0,1260,46,8
Subway,"Bacon, Egg & Cheese",730,21,7,0,1370,43,3
Chipotle,Burrito,1480,53,15,0,3060,127,5
Chipotle,Chips with guacomole,710,49,7,0,795,81,5
Chipotle,Burrito Bowl,1200,41,11.5,0,2720,82,5
Chipotle,Burrito,1550,59.5,20,0,2490,102,4
Papa Johns,Small Pepperoni Pizza,1960,54,18,0,3180,150,18
Papa Johns,Spicy Italian Pizza,2140,66,24,0,3660,150,19
McDonald's,Sausage McMuffin,620,39,13,0,275,1150,47
McDonald's,Egg McMuffin,450,21,7,0,245,1070,47
McDonald's,"Bacon, Egg & Cheese Biscuit",600,33,14,0,200,1640,57
McDonald's,Sausage Biscuit with Egg,680,43,16,0,205,1480,55
McDonald's,"Bacon, Egg & Cheese McGriddles",570,27,9,0,195,1570,62
McDonald's,"Sausage, Egg & Cheese McGriddles",700,41,14,0,215,1620,62
McDonald's,Sausage McGriddles,580,34,10,0,35,1330,59
McDonald's,Sausage Burrito (2),440,24,7,0,165,1140,43
McDonald's,Big Mac,1090,44,12,1,80,1200,149
McDonald's,Quarter Pounder with Cheese,1090,47,15,1.5,100,1340,144
McDonald's,Double Quarter Pounder with Cheeese,1330,61,23,2.5,175,1540,145
McDonald's,Premium Buttermilk Crispy Chicken Sandwich,1130,39,7,0,60,1300,168
McDonald's,Artisan Grilled Chicken Sandwich,940,22,4,0,95,1360,147
McDonald's,Chicken McNuggets (10 piece),1000,43,7,0,75,1090,129
McDonald's,Filet-O-Fish,940,34,6,0,45,810,141
AppleBees,Black Bean Soup,250,11,6,0,7,1130,27
AppleBees,Chicken Noodle Soup,140,4,1,0,1,1110,14
AppleBees,Chicken Tortilla Soup,210,9,2,0,3,1220,24
AppleBees,Broccoli Cheddar Soup,370,28,18,1,3,1770,16
AppleBees,Clam Chowder,360,26,15,0.5,1,1000,19
AppleBees,Fiesta Corn Chowder,370,29,16,0.5,2,820,28
AppleBees,Tuscan Bean Soup with Chicken & Sausage,170,7,3,0,1,770,13
AppleBees,Classic Turkey Breast,280,15,2,0,1,460,21
AppleBees,Seasonal Berry & Spinach Salad,240,11,2.5,0,2,580,11
AppleBees,Fiesta Chicken Chopped Salad,360,17,4,0,4,1000,26
AppleBees,Grilled Chicken Caesar Salad,310,20,4.5,0,2,670,8
AppleBees,Clubhouse Grille,560,34,10,0,2,1470,36
AppleBees,Caesar Salad,210,18,4,0,2,350,8
AppleBees,California Shrimp Salad,330,26,4.5,0,3,1340,9
AppleBees,Chicken Fajita Rollup,660,38,15,1,4,2010,43
AppleBees,Oriental Chicken Salad,440,29,4.5,0,3,660,28
AppleBees,Oriental Grilled Chicken Salad,430,21,3,0,2,1440,36
AppleBees,House Salad,120,7,2.5,0,2,200,9
AppleBees,"Dressing, Bleu Cheese",160,17,3.5,0,0,170,1
AppleBees,"Dressing, Dijon Honey Mustard",140,12,1.5,0,0,350,9
AppleBees,"Dressing, Mexi-Ranch",90,9,1.5,0,0,320,2
AppleBees,"Dressing, Buttermilk Ranch",130,14,2.5,0,0,210,1
AppleBees,Spinach Salad,240,14,2.5,0,3,720,23
AppleBees,"Roast Beef, Bacon & Mushroom Melt",490,29,10,0,1,1440,28
AppleBees,Breadstick,130,4,0.5,0,0,200,19
AppleBees,Grilled Chicken WonTon Tacos,480,21,3.5,0,3,1680,50
AppleBees,Cajun Shrimp Pasta,520,23,10,0,4,1900,54
AppleBees,"Turkey, Bacon & Avocado",690,38,11,0,5,1150,55
AppleBees,Four-Cheese Grille,450,29,14,1,2,1250,31
AppleBees,American BLT,520,38,11,0.5,1,1220,26
AppleBees,4-Cheese Mac & Cheese with Honey Pepper Chicken Tenders,810,35,15,0.5,5,1720,91
AppleBees,Honey Pepper Chicken Tenders,920,35,7,0,7,1690,127