State,Obese
Alabama,25.7
Alaska,25.9
Arizona,19.6
Arkansas,23.7
California,19.2
Colorado,16.5
Connecticut,18
Delaware,20.7
Florida,19.4
Georgia,23.5
Hawaii,17.1
Idaho,20.2
Illinois,21.9
Indiana,24.1
Iowa,22.9
Kansas,22.8
Kentucky,24.4
Louisiana,25.5
Maine,20.7
Maryland,19.4
Massachusetts,18.3
Michigan,25.4
Minnesota,22.4
Mississippi,26.8
Missouri,23.2
Montana,18.7
Nebraska,23.2
Nevada,21.6
New Hampshire,17.9
New Jersey,19
New Mexico,19.7
New York,20.6
North Carolina,23.5
North Dakota,23.4
Ohio,23
Oklahoma,22.9
Oregon,20.3
Pennsylvania,23.9
Rhode Island,18.5
South Carolina,25.8
South Dakota,21.2
Tennessee,24.5
Texas,25.5
Utah,17.5
Vermont,18.9
Virginia,23.8
Washington,21.3
West Virginia,27.6
Wisconsin,21.6
Wyoming,19.5